date,city,state,injured,killed,lat,lng
"July 30, 2016",Saint Louis,Missouri,5,0,38.6272733,-90.1978888
"July 30, 2016",Townsend (Eulonia),Georgia,5,0,31.538194,-81.4330949
"July 29, 2016",Athens,Georgia,7,0,33.9595974,-83.3766779
"July 28, 2016",Baltimore,Maryland,4,0,39.2908608,-76.6108073
"July 28, 2016",Chicago,Illinois,2,2,41.8755546,-87.6244211
"July 28, 2016",Elmira,New York,5,0,42.0897965,-76.8077337
"July 25, 2016",Fort Myers,Florida,19,2,26.640628,-81.8723083
"July 24, 2016",Hamilton,Ohio,7,1,39.2085354,-84.5501873
"July 23, 2016",North Charleston,South Carolina,4,0,32.8546197,-79.9748102
"July 23, 2016",Cincinnati,Ohio,2,2,39.1014537,-84.5124601
"July 23, 2016",Brooklyn,New York,4,0,40.6501038,-73.9495822
"July 23, 2016",Bastrop,Texas,1,4,30.1104947,-97.31527
"July 22, 2016",Kankakee,Illinois,5,0,41.1200325,-87.861153
"July 21, 2016",Chicago,Illinois,5,0,41.8755546,-87.6244211
"July 20, 2016",Fresno,California,4,0,36.7295295,-119.7088612
"July 19, 2016",West Memphis,Arkansas,4,0,35.1464797,-90.1845387
"July 17, 2016",Houston,Texas,3,1,29.7589382,-95.3676973
"July 17, 2016",Detroit,Michigan,4,0,42.3486635,-83.0567374
"July 17, 2016",Baton Rouge,Louisiana,3,4,30.4507462,-91.1545509
"July 16, 2016",Dallas,Texas,5,0,32.7762719,-96.7968558
"July 16, 2016",Cleveland,Ohio,5,0,41.5051613,-81.6934445
"July 16, 2016",San Bernardino,California,4,0,34.1083449,-117.2897651
"July 16, 2016",Bakersfield,California,14,1,35.3738712,-119.0194638
"July 16, 2016",Clarksville,Tennessee,6,0,36.5285918,-87.3098695
"July 15, 2016",Woodland,Washington,1,3,45.9109715,-122.7408325
"July 14, 2016",Crosby,Texas,1,3,29.9118885,-95.0621511
"July 14, 2016",Oakland,California,4,0,37.8044557,-122.2713562
"July 14, 2016",Akron,Ohio,3,1,41.0830643,-81.5184853
"July 13, 2016",Warner Robins,Georgia,5,0,32.598313,-83.6256769
"July 13, 2016",Saint Louis,Missouri,2,2,38.6272733,-90.1978888
"July 11, 2016",Baltimore,Maryland,5,0,39.2908608,-76.6108073
"July 11, 2016",Jackson,Michigan,4,0,42.2465036,-84.4016962
"July 11, 2016",Washington,District of Columbia,4,0,38.8949549,-77.0366455
"July 11, 2016",Berrien (county),Michigan,2,3,41.9838614,-86.3985713
"July 7, 2016",Bristol,Tennessee,4,1,36.5951059,-82.1887443
"July 7, 2016",Dallas,Texas,9,5,32.7762719,-96.7968558
"July 7, 2016",Baton Rouge,Louisiana,4,0,30.4507462,-91.1545509
"July 5, 2016",Los Angeles,California,4,0,34.0543942,-118.2439409
"July 4, 2016",Chicago (Englewood),Illinois,4,0,41.7790752,-87.6684426
"July 4, 2016",Brooklyn,New York,7,0,40.6501038,-73.9495822
"July 4, 2016",Cleveland,Ohio,4,0,41.5051613,-81.6934445
"July 4, 2016",Pittsburgh,Pennsylvania,4,0,40.4416941,-79.990086
"July 4, 2016",Houston,Texas,2,3,29.7589382,-95.3676973
"July 4, 2016",Phoenix,Arizona,6,2,33.4485866,-112.0773455
"July 3, 2016",Monroe,Louisiana,3,2,32.5093109,-92.1193011
"July 3, 2016",Chattanooga,Tennessee,4,0,35.0456297,-85.30968
"June 30, 2016",Chicago,Illinois,4,1,41.8755546,-87.6244211
"June 29, 2016",Las Vegas,Nevada,0,5,36.1662859,-115.1492249
"June 28, 2016",Los Angeles (county),California,3,1,34.3155072,-118.2096813
"June 28, 2016",Chicago,Illinois,4,0,41.8755546,-87.6244211
"June 27, 2016",Woodburn,Oregon,1,3,45.143731,-122.8553724
"June 26, 2016",Atlanta,Georgia,4,1,33.7490987,-84.3901848
"June 26, 2016",Houston,Texas,3,1,29.7589382,-95.3676973
"June 26, 2016",Corpus Christi,Texas,4,0,27.8002542,-97.3955743
"June 26, 2016",Marlboro (county),South Carolina,4,0,34.5810346,-79.6742032
"June 26, 2016",Charlotte,North Carolina,5,0,35.2270869,-80.8431267
"June 25, 2016",Fort Worth,Texas,5,2,32.753177,-97.3327458
"June 25, 2016",Norfolk,Virginia,4,0,36.8889933,-76.2481623
"June 25, 2016",Chicago,Illinois,4,0,41.8755546,-87.6244211
"June 24, 2016",Kansas City,Kansas,4,0,39.1146799,-94.7495245
"June 24, 2016",Hartford,Connecticut,5,0,41.7634935,-72.6830522
"June 24, 2016",District Heights,Maryland,2,3,38.8576128,-76.889417
"June 22, 2016",Olympia,Washington,1,3,47.0450197,-122.8948724
"June 22, 2016",Dekalb (county),Georgia,4,1,33.7575613,-84.2186507
"June 22, 2016",Chicago,Illinois,4,0,41.8755546,-87.6244211
"June 21, 2016",Willingboro,New Jersey,4,0,40.0278894,-74.8690541
"June 21, 2016",Louisville,Kentucky,2,2,38.2542376,-85.7594069
"June 19, 2016",Roanoke,Virginia,4,0,37.270973,-79.9414312
"June 18, 2016",Exmore,Virginia,3,1,37.5318069,-75.8229913
"June 18, 2016",Waycross,Georgia,2,2,31.2135511,-82.3540177
"June 18, 2016",Chicago,Illinois,4,0,41.8755546,-87.6244211
"June 14, 2016",Wilmington,Delaware,4,0,39.7459468,-75.5465889
"June 14, 2016",Oakland,California,3,1,37.8044557,-122.2713562
"June 13, 2016",Fresno,California,4,0,36.7295295,-119.7088612
"June 13, 2016",Brooklyn,New York,5,0,40.6501038,-73.9495822
"June 13, 2016",Chicago,Illinois,5,0,41.8755546,-87.6244211
"June 12, 2016",Orlando,Florida,53,50,28.5421175,-81.3790461
"June 11, 2016",Webster,Minnesota,4,0,44.529686,-93.3527229
"June 11, 2016",Stockton,California,3,1,37.9577016,-121.2907795
"June 11, 2016",Panorama City,California,2,3,34.224726,-118.4498051
"June 11, 2016",Roswell,New Mexico,0,5,33.3943282,-104.5229517
"June 11, 2016",Charlotte,North Carolina,3,1,35.2270869,-80.8431267
"June 9, 2016",Fort Walton Beach,Florida,4,0,30.4057552,-86.6188419
"June 8, 2016",Boston,Massachusetts,3,1,42.3604823,-71.0595677
"June 8, 2016",Washington,District of Columbia,4,0,38.8949549,-77.0366455
"June 6, 2016",Visalia,California,4,0,36.3302284,-119.2920584
"June 5, 2016",Minneapolis,Minnesota,4,0,44.9772995,-93.2654691
"June 5, 2016",Cape Coral,Florida,3,3,26.6058996,-81.9807339
"June 5, 2016",Brooklyn,New York,4,0,40.6501038,-73.9495822
"June 5, 2016",Phoenix,Arizona,5,2,33.4485866,-112.0773455
"June 4, 2016",Denver,Colorado,1,3,39.7391536,-104.9847033
"May 31, 2016",Chicago,Illinois,4,0,41.8755546,-87.6244211
"May 31, 2016",Fort Wayne,Indiana,4,0,41.0799898,-85.1386014
"May 30, 2016",Baltimore,Maryland,5,0,39.2908608,-76.6108072
"May 30, 2016",Sacramento,California,5,0,38.5815719,-121.4943995
"May 29, 2016",Las Vegas,Nevada,4,0,36.1662859,-115.1492249
"May 29, 2016",Houston,Texas,6,2,29.7589382,-95.3676973
"May 29, 2016",Trenton,New Jersey,6,0,40.2170575,-74.7429462
"May 29, 2016",Indianapolis,Indiana,4,0,39.7683331,-86.1583501
"May 23, 2016",Newark,New Jersey,5,0,40.735657,-74.1723666
"May 22, 2016",New Orleans,Louisiana,4,0,29.9499323,-90.0701155
"May 22, 2016",Stockton,California,3,1,37.9577016,-121.2907795
"May 22, 2016",Nashville,Tennessee,4,0,36.1622296,-86.774353
"May 21, 2016",Jackson,Georgia,3,1,34.1282559,-83.5753385
"May 18, 2016",Indianapolis,Indiana,4,0,39.7683331,-86.1583501
"May 17, 2016",Ravenel,South Carolina,1,3,32.7632321,-80.2500985
"May 15, 2016",Moultrie,Georgia,0,5,31.1811523,-83.7878808
"May 15, 2016",Evansville,Indiana,4,0,37.9747645,-87.5558482
"May 14, 2016",Atlanta,Georgia,5,0,33.7490987,-84.3901848
"May 14, 2016",Charleston,West Virginia,3,1,38.3505995,-81.6332811
"May 11, 2016",Birmingham,Alabama,4,1,33.5206824,-86.8024325
"May 11, 2016",Chicago,Illinois,5,0,41.8755546,-87.6244211
"May 8, 2016",Austin,Texas,3,1,30.2711286,-97.7436994
"May 6, 2016",Detroit,Michigan,4,1,42.3486635,-83.0567374
"May 6, 2016",Montgomery,Alabama,3,1,32.3669656,-86.3006484
"May 6, 2016",Bethesda,Maryland,3,3,38.9848265,-77.0946458
"May 5, 2016",Shreveport,Louisiana,6,2,32.4828485,-93.8284832
"May 5, 2016",Miami,Florida,3,1,25.7742658,-80.1936588
"May 4, 2016",Minneapolis,Minnesota,7,1,44.9772995,-93.2654691
"May 1, 2016",Murfreesboro,Tennessee,5,0,35.9155165,-86.4446933
"April 29, 2016",Saint Louis (Ferguson),Missouri,4,0,38.62727,-90.19789
"April 29, 2016",Oakland,California,5,0,37.8044557,-122.2713562
"April 27, 2016",Baton Rouge,Louisiana,3,1,30.4507462,-91.1545509
"April 27, 2016",Kilmichael,Mississippi,1,3,33.4434573,-89.571743
"April 26, 2016",District Heights (Forestville),Maryland,4,1,38.85761,-76.88942
"April 25, 2016",Nashville,Tennessee,4,0,36.1622296,-86.774353
"April 25, 2016",Miami,Florida,5,0,25.7742658,-80.1936588
"April 24, 2016",Halifax,Virginia,5,0,36.747244,-78.9425633
"April 24, 2016",Chicago (Englewood),Illinois,3,2,41.7790752,-87.6684426
"April 24, 2016",Denver,Colorado,4,0,39.7391536,-104.9847033
"April 23, 2016",Las Vegas,Nevada,3,1,36.1662859,-115.1492249
"April 23, 2016",Auburn,Alabama,1,3,32.57113,-85.4080355
"April 23, 2016",Topeka,Kansas,4,1,39.0490111,-95.6775556
"April 23, 2016",New York (Manhattan),New York,4,0,40.7484357,-73.9856931
"April 22, 2016",Piketon,Ohio,0,8,39.0681252,-83.0143442
"April 22, 2016",Appling,Georgia,0,6,31.7771435,-82.2996273
"April 21, 2016",Baltimore,Maryland,4,0,39.2908608,-76.6108072
"April 19, 2016",Blountsville,Alabama,4,1,34.0814863,-86.5911026
"April 19, 2016",Chicago,Illinois,3,1,41.8755546,-87.6244211
"April 19, 2016",Chicago,Illinois,4,1,41.8755546,-87.6244211
"April 18, 2016",Long Beach,California,3,1,33.7774658,-118.188487
"April 17, 2016",Philadelphia,Pennsylvania,1,3,39.9523993,-75.1635898
"April 17, 2016",Pelzer,South Carolina,3,1,34.6423372,-82.4559597
"April 17, 2016",Edinburg,Texas,6,1,26.3013982,-98.16245
"April 16, 2016",Detroit,Michigan,4,1,42.3486635,-83.0567374
"April 16, 2016",Orlando,Florida,4,2,28.5421175,-81.3790461
"April 16, 2016",Enterprise,Alabama,4,0,31.3151708,-85.8552161
"April 14, 2016",Orange,New Jersey,3,1,40.7706562,-74.2326462
"April 10, 2016",Milwaukee,Wisconsin,3,1,43.0349931,-87.9224969
"April 10, 2016",Los Angeles,California,4,0,34.0543942,-118.2439408
"April 9, 2016",Memphis,Tennessee,4,0,35.1490215,-90.0516284
